sigla_uf;consumo;consumo_perc;regiao
AC;1094644,10;0,002188;Norte
AL;4708546,94;0,009413;Nordeste
AM;6284157,52;0,012563;Norte
AP;1140010,01;0,002279;Norte
BA;26227124,86;0,052432;Nordeste
CE;12846757,60;0,025683;Nordeste
DF;6407678,55;0,012810;Centro-Oeste
ES;10417216,58;0,020826;Sudeste
GO;17239495,08;0,034465;Centro-Oeste
MA;8146929,82;0,016287;Nordeste
MG;58696744,58;0,117345;Sudeste
MS;6286753,06;0,012568;Centro-Oeste
MT;9755771,31;0,019503;Centro-Oeste
PA;21142127,93;0,042267;Norte
PB;5835913,75;0,011667;Nordeste
PE;15208549,65;0,030404;Nordeste
PI;3961522,00;0,007920;Nordeste
PR;34521636,28;0,069014;Sul
RJ;38095569,29;0,076159;Sudeste
RN;6038007,00;0,012071;Nordeste
RO;3359245,62;0,006716;Norte
RR;1073227,30;0,002146;Norte
RS;30125869,37;0,060227;Sul
SC;27942368,01;0,055861;Sul
SE;3862888,24;0,007723;Nordeste
SP;137268116,55;0,274422;Sudeste
TO;2521737,45;0,005041;Norte
